,country_region,continent,population,date,month,day,confirmed,deaths,death / 100.000 hab,recovered,active,new cases,new deaths
12012,Argentina,South America,45236884.0,2020-03-08,3,8,12,1,0.0022105855036346003,0,11,4,1
12053,Chile,South America,19132514.0,2020-03-08,3,8,20,0,0.0,0,20,7,0
12101,Ecuador,South America,17668824.0,2020-03-08,3,8,14,0,0.0,0,14,1,0
12162,Mexico,North America,129066160.0,2020-03-08,3,8,7,0,0.0,1,6,1,0
12205,Spain,Europe,46756648.0,2020-03-08,3,8,673,17,0.03635846607310259,30,626,173,7
12273,Argentina,South America,45236884.0,2020-03-09,3,9,12,1,0.0022105855036346003,0,11,0,0
12314,Chile,South America,19132514.0,2020-03-09,3,9,20,0,0.0,0,20,0,0
12362,Ecuador,South America,17668824.0,2020-03-09,3,9,15,0,0.0,0,15,1,0
12423,Mexico,North America,129066160.0,2020-03-09,3,9,7,0,0.0,1,6,0,0
12466,Spain,Europe,46756648.0,2020-03-09,3,9,1073,28,0.059884532355698385,32,1013,400,11
12534,Argentina,South America,45236884.0,2020-03-10,3,10,17,1,0.0022105855036346003,0,16,5,0
12575,Chile,South America,19132514.0,2020-03-10,3,10,25,0,0.0,0,25,5,0
12623,Ecuador,South America,17668824.0,2020-03-10,3,10,15,0,0.0,0,15,0,0
12684,Mexico,North America,129066160.0,2020-03-10,3,10,7,0,0.0,4,3,0,0
12727,Spain,Europe,46756648.0,2020-03-10,3,10,1695,35,0.07485566544462298,32,1628,622,7
12795,Argentina,South America,45236884.0,2020-03-11,3,11,19,1,0.0022105855036346003,0,18,2,0
12836,Chile,South America,19132514.0,2020-03-11,3,11,35,0,0.0,0,35,10,0
12884,Ecuador,South America,17668824.0,2020-03-11,3,11,17,0,0.0,0,17,2,0
12945,Mexico,North America,129066160.0,2020-03-11,3,11,8,0,0.0,4,4,1,0
12988,Spain,Europe,46756648.0,2020-03-11,3,11,2277,54,0.11549159811456118,183,2040,582,19
13056,Argentina,South America,45236884.0,2020-03-12,3,12,19,1,0.0022105855036346003,0,18,0,0
13097,Chile,South America,19132514.0,2020-03-12,3,12,35,0,0.0,0,35,0,0
13145,Ecuador,South America,17668824.0,2020-03-12,3,12,17,0,0.0,0,17,0,0
13206,Mexico,North America,129066160.0,2020-03-12,3,12,12,0,0.0,4,8,4,0
13249,Spain,Europe,46756648.0,2020-03-12,3,12,2277,55,0.11763033141297896,183,2039,0,1
13317,Argentina,South America,45236884.0,2020-03-13,3,13,31,2,0.004421171007269201,0,29,12,1
13358,Chile,South America,19132514.0,2020-03-13,3,13,55,0,0.0,0,55,20,0
13406,Ecuador,South America,17668824.0,2020-03-13,3,13,17,0,0.0,0,17,0,0
13467,Mexico,North America,129066160.0,2020-03-13,3,13,26,0,0.0,4,22,14,0
13510,Spain,Europe,46756648.0,2020-03-13,3,13,5232,133,0.2844515286895673,193,4906,2955,78
13578,Argentina,South America,45236884.0,2020-03-14,3,14,34,2,0.004421171007269201,1,31,3,0
13619,Chile,South America,19132514.0,2020-03-14,3,14,88,0,0.0,0,88,33,0
13667,Ecuador,South America,17668824.0,2020-03-14,3,14,28,2,0.011319372472101142,0,26,11,2
13728,Mexico,North America,129066160.0,2020-03-14,3,14,41,0,0.0,4,37,15,0
13771,Spain,Europe,46756648.0,2020-03-14,3,14,6391,195,0.4170529931914709,517,5679,1159,62
13839,Argentina,South America,45236884.0,2020-03-15,3,15,45,2,0.004421171007269201,1,42,11,0
13880,Chile,South America,19132514.0,2020-03-15,3,15,101,0,0.0,0,101,13,0
13928,Ecuador,South America,17668824.0,2020-03-15,3,15,28,2,0.011319372472101142,0,26,0,0
13989,Mexico,North America,129066160.0,2020-03-15,3,15,53,0,0.0,4,49,12,0
14032,Spain,Europe,46756648.0,2020-03-15,3,15,7798,289,0.618093923242744,517,6992,1407,94
14100,Argentina,South America,45236884.0,2020-03-16,3,16,56,2,0.004421171007269201,1,53,11,0
14141,Chile,South America,19132514.0,2020-03-16,3,16,182,0,0.0,0,182,81,0
14189,Ecuador,South America,17668824.0,2020-03-16,3,16,37,2,0.011319372472101142,0,35,9,0
14250,Mexico,North America,129066160.0,2020-03-16,3,16,82,0,0.0,4,78,29,0
14293,Spain,Europe,46756648.0,2020-03-16,3,16,9942,342,0.7314467880588874,530,9070,2144,53
14361,Argentina,South America,45236884.0,2020-03-17,3,17,68,2,0.004421171007269201,3,63,12,0
14402,Chile,South America,19132514.0,2020-03-17,3,17,228,0,0.0,0,228,46,0
14450,Ecuador,South America,17668824.0,2020-03-17,3,17,58,2,0.011319372472101142,0,56,21,0
14511,Mexico,North America,129066160.0,2020-03-17,3,17,93,0,0.0,4,89,11,0
14554,Spain,Europe,46756648.0,2020-03-17,3,17,11748,533,1.1399448480566872,1028,10187,1806,191
14622,Argentina,South America,45236884.0,2020-03-18,3,18,79,2,0.004421171007269201,3,74,11,0
14663,Chile,South America,19132514.0,2020-03-18,3,18,265,0,0.0,0,265,37,0
14711,Ecuador,South America,17668824.0,2020-03-18,3,18,111,2,0.011319372472101142,0,109,53,0
14772,Mexico,North America,129066160.0,2020-03-18,3,18,118,0,0.0,4,114,25,0
14815,Spain,Europe,46756648.0,2020-03-18,3,18,13910,623,1.332430844914289,1081,12206,2162,90
14883,Argentina,South America,45236884.0,2020-03-19,3,19,97,3,0.006631756510903802,3,91,18,1
14924,Chile,South America,19132514.0,2020-03-19,3,19,265,0,0.0,0,265,0,0
14972,Ecuador,South America,17668824.0,2020-03-19,3,19,199,3,0.016979058708151716,0,196,88,1
15033,Mexico,North America,129066160.0,2020-03-19,3,19,164,1,0.0007747964299859855,4,159,46,1
15076,Spain,Europe,46756648.0,2020-03-19,3,19,17963,830,1.7751486376867736,1107,16026,4053,207
15144,Argentina,South America,45236884.0,2020-03-20,3,20,128,3,0.006631756510903802,3,122,31,0
15185,Chile,South America,19132514.0,2020-03-20,3,20,461,0,0.0,6,455,196,0
15233,Ecuador,South America,17668824.0,2020-03-20,3,20,367,5,0.028298431180252853,0,362,168,2
15294,Mexico,North America,129066160.0,2020-03-20,3,20,203,2,0.001549592859971971,4,197,39,1
15337,Spain,Europe,46756648.0,2020-03-20,3,20,20410,1043,2.230698830249765,1588,17779,2447,213
15405,Argentina,South America,45236884.0,2020-03-21,3,21,158,4,0.008842342014538401,3,151,30,1
15446,Chile,South America,19132514.0,2020-03-21,3,21,592,0,0.0,6,586,131,0
15494,Ecuador,South America,17668824.0,2020-03-21,3,21,506,7,0.039617803652354004,3,496,139,2
15555,Mexico,North America,129066160.0,2020-03-21,3,21,251,2,0.001549592859971971,4,245,48,0
15598,Spain,Europe,46756648.0,2020-03-21,3,21,25374,1375,2.940758285324474,2125,21874,4964,332
15666,Argentina,South America,45236884.0,2020-03-22,3,22,266,4,0.008842342014538401,3,259,108,0
15707,Chile,South America,19132514.0,2020-03-22,3,22,687,1,0.005226704655749892,8,678,95,1
15755,Ecuador,South America,17668824.0,2020-03-22,3,22,789,14,0.07923560730470801,3,772,283,7
15816,Mexico,North America,129066160.0,2020-03-22,3,22,316,3,0.0023243892899579566,4,309,65,1
